id,machine_tag,full_name,surname,type,born_in,died_in,age,sex,ethnicity,roles,primary_role,clergy?,mother,mother_id,father,father_id,wikidata_id,en_wikipedia_url,dbpedia_uri,find_a_grave_url,plaques_count
23641,openplaques:subject:id=23641,"Angela Burdett-Coutts, 1st Baroness Burdett-Coutts",Burdett-Coutts,man,1814,1906,92,male,,[],,false,,,,,Q137680,"https://en.wikipedia.org/wiki/Angela_Burdett-Coutts,_1st_Baroness_Burdett-Coutts","http://dbpedia.org/resource/Angela_Burdett-Coutts,_1st_Baroness_Burdett-Coutts",,1
1957,openplaques:subject:id=1957,"Harriot Mellon , Duchess of St Albans",Mellon,woman,1777,1837,60,female,,"[""Duchess of St Albans"", ""socialite""]",,false,,,,,Q5664246,https://en.wikipedia.org/wiki/Harriet_Mellon,http://dbpedia.org/resource/Harriet_Mellon,,1
23643,openplaques:subject:id=23643,Thomas Coutts,Coutts,man,1735,1822,86,male,,[],,false,,,,,Q7788650,https://en.wikipedia.org/wiki/Thomas_Coutts,http://dbpedia.org/resource/Thomas_Coutts,,1
6,openplaques:subject:id=6,Dame Florence Nightingale OM DStJ RRC,Nightingale,woman,1820,1910,90,female,,"[""writer"", ""Order of Merit recipient"", ""statistician"", ""nurse"", ""daughter"", ""DStJ - Dame of The Most Venerable Order of the Hospital of Saint John of Jerusalem"", ""Royal Red Cross recipient""]",,false,Frances Nightingale,22947,William Nightingale,22946,Q37103,https://en.wikipedia.org/wiki/Florence_Nightingale,http://dbpedia.org/resource/Florence_Nightingale,http://www.findagrave.com/cgi-bin/fg.cgi?page=gr&GRid=2579,1
23642,openplaques:subject:id=23642,Rumer Godden,Godden,man,1907,1998,90,male,,[],,false,,,,,Q434735,https://en.wikipedia.org/wiki/Rumer_Godden,http://dbpedia.org/resource/Rumer_Godden,,1
23640,openplaques:subject:id=23640,Circles,Circles,thing,,,unknown,object,1979,"[""film distributor""]",film distributor,false,,,,,Q18205516,https://en.wikipedia.org/wiki/Circles_(film_distributor),http://dbpedia.org/resource/Circles_(film_distributor),,1
23638,openplaques:subject:id=23638,Catherine Da Costa,Costa,man,1678,1756,78,male,,[],,false,,,,,Q76252605,,,,1
23639,openplaques:subject:id=23639,Bernard Lens,Lens,man,1682,1740,58,male,,[],,false,,,,,Q4893365,https://en.wikipedia.org/wiki/Bernard_Lens_III,http://dbpedia.org/resource/Bernard_Lens_III,,1
23637,openplaques:subject:id=23637,Gladys Cooper,Cooper,man,1888,1971,82,male,,[],,false,,,,,Q235299,https://en.wikipedia.org/wiki/Gladys_Cooper,http://dbpedia.org/resource/Gladys_Cooper,,1
23635,openplaques:subject:id=23635,Matilda Sharpe,Sharpe,man,1830,1916,86,male,,[],,false,,,,,Q17081965,https://en.wikipedia.org/wiki/Matilda_Sharpe,http://dbpedia.org/resource/Matilda_Sharpe,,1
23636,openplaques:subject:id=23636,Channing School,School,man,,,unknown,male,,[],,false,,,,,Q5072554,https://en.wikipedia.org/wiki/Channing_School,http://dbpedia.org/resource/Channing_School,,1
23634,openplaques:subject:id=23634,Victoria Wood,Wood,man,1953,2016,63,male,,[],,false,,,,,Q3309588,https://en.wikipedia.org/wiki/Victoria_Wood,http://dbpedia.org/resource/Victoria_Wood,,1
7472,openplaques:subject:id=7472,Sir Rt Hon. Lord Harold Wilson OBE KG PC,Wilson,man,1916,1995,79,male,,"[""Prime Minister of the United Kingdom"", ""Officer of the Most Excellent Order of the British Empire"", ""Member of Parliament"", ""Knight of the Order of the Garter"", ""Privy Counsellor"", ""Baron Wilson of Rievaulx""]",,false,,,,,Q128956,https://en.wikipedia.org/wiki/Harold_Wilson,http://dbpedia.org/resource/Harold_Wilson,,1
16266,openplaques:subject:id=16266,Labour Party,Labour Party,group,1900,,120,object,,"[""political party""]",political party,false,,,,,,,,,1
23633,openplaques:subject:id=23633,Barbara Castle,"",man,1910,2002,91,male,,[],,false,,,,,Q2883936,https://en.wikipedia.org/wiki/Barbara_Castle,http://dbpedia.org/resource/Barbara_Castle,,1
135,openplaques:subject:id=135,Sir Rt Hon. Winston Churchill CH KG OM PC FRS TD RA,Churchill,man,1874,1965,91,male,,"[""Prime Minister of the United Kingdom"", ""Order of Merit recipient"", ""Companion of Honour"", ""Royal Academician"", ""Fellow of the Royal Society"", ""Knight of the Order of the Garter"", ""Nobel Literature Laureate"", ""husband"", ""father"", ""son"", ""Privy Counsellor"", ""Deputy Lieutenant"", ""Territorial Decoration recipient""]",,false,,,Lord Randolph Churchill,261,Q8016,https://en.wikipedia.org/wiki/Winston_Churchill,http://dbpedia.org/resource/Winston_Churchill,,1
5037,openplaques:subject:id=5037,King George VI of the United Kingdom,George VI,man,1895,1952,56,male,,"[""husband"", ""father"", ""son"", ""King of the United Kingdom""]",King of the United Kingdom,false,Queen Mary of Teck,3252,King George V of the United Kingdom,3250,Q280856,https://en.wikipedia.org/wiki/George_VI,http://dbpedia.org/resource/George_VI,,1
5100,openplaques:subject:id=5100,Sir Rt Hon. Field-Marshal Viscount Bernard Montgomery KG GCB PC DSO DL,Montgomery,man,1887,1976,88,male,,"[""Field-Marshal"", ""Companion of the Distinguished Service Order"", ""Knight of the Order of the Garter"", ""Knight Grand Cross of the Order of the Bath"", ""Viscount Montgomery of Alamein"", ""Privy Counsellor"", ""Deputy Lieutenant""]",,false,,,,,Q152025,https://en.wikipedia.org/wiki/Bernard_Montgomery,http://dbpedia.org/resource/Bernard_Montgomery,,1
5775,openplaques:subject:id=5775,General Dwight D. Eisenhower OM,Eisenhower,man,1890,1969,79,male,,"[""Order of Merit recipient"", ""President of the United States"", ""husband"", ""father"", ""son"", ""United States Army General"", ""Commander-in-Chief Allied Force"", ""Supreme Commander Allied Expeditionary Force""]",,false,Ida Elizabeth Stover Eisenhower,9109,David J. Eisenhower,9108,Q9916,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,http://dbpedia.org/resource/Dwight_D._Eisenhower,,1
23623,openplaques:subject:id=23623,Kindertransport,Kindertransport,man,,,unknown,object,,[],,false,,,,,Q683056,https://en.wikipedia.org/wiki/Kindertransport,http://dbpedia.org/resource/Kindertransport,,1
23622,openplaques:subject:id=23622,The Beauchamp,Beauchamp,man,,,unknown,object,,[],,false,,,,,,,,,1
23621,openplaques:subject:id=23621,National Provident Institution,Institution,man,,,unknown,object,,[],,false,,,,,,,,,1
2282,openplaques:subject:id=2282,George Kemp,Kemp,man,,,unknown,male,,"[""assistant""]",,false,,,,,,,,,1
23619,openplaques:subject:id=23619,St. Alphage,Alphage,man,,,unknown,male,,[],,false,,,,,,,,,1
23617,openplaques:subject:id=23617,St. Georges Burial Ground,Ground,man,,,unknown,object,,[],,false,,,,,,,,,1
23618,openplaques:subject:id=23618,Paddington Gardens,Gardens,man,,,unknown,male,,[],,false,,,,,,,,,1
23603,openplaques:subject:id=23603,Nuclear Dawn,Nuclear Dawn,thing,1981,,39,object,"","[""mural""]",mural,false,,,,,Q,,,,1
23604,openplaques:subject:id=23604,Brian Barnes,Barnes,man,,,unknown,male,,"[""artist""]",artist,false,,,,,,,,,1
23605,openplaques:subject:id=23605,Dale McCrea,McCrea,man,,,unknown,male,,"[""artist""]",artist,false,,,,,,,,,1
23606,openplaques:subject:id=23606,The White Conduit,Conduit,thing,1300,,720,object,,"[""conduit""]",conduit,false,,,,,,,,,1
23607,openplaques:subject:id=23607,Navy Office pew,Navy Office pew,thing,,,unknown,object,,"[""pew""]",pew,false,,,,,,,,,1
4331,openplaques:subject:id=4331,General Julius Caesar,Caesar,man,100,44,-56,male,,"[""author"", ""politician"", ""General""]",,false,,,,,Q1048,https://en.wikipedia.org/wiki/Julius_Caesar,http://dbpedia.org/resource/Julius_Caesar,,1
23594,openplaques:subject:id=23594,Cassivellaunus,Cassivellaunus,man,,,unknown,male,,"[""tribal chief""]",tribal chief,false,,,,,Q363623,https://en.wikipedia.org/wiki/Cassivellaunus,http://dbpedia.org/resource/Cassivellaunus,,1
23593,openplaques:subject:id=23593,Warkworth House,House,place,,,unknown,object,,"[""house""]",house,false,,,,,,,,,1
23584,openplaques:subject:id=23584,Keib Thomas,Thomas,man,,,unknown,male,,[],,false,,,,,,,,,1
23582,openplaques:subject:id=23582,All Saints Cemetery,Cemetery,man,,,unknown,object,,[],,false,,,,,Q8872129,https://en.wikipedia.org/wiki/All_Saints_Cemetery,http://dbpedia.org/resource/All_Saints_Cemetery,,1
23688,openplaques:subject:id=23688,Camden Road tube station,station,place,1870,,150,object,,"[""railway station""]",railway station,false,,,,,,,,,1
23689,openplaques:subject:id=23689,Edwin Henry Horne,Horne,man,,,unknown,male,,"[""architect""]",architect,false,,,,,Q23696685,https://en.wikipedia.org/wiki/Edwin_Henry_Horne,http://dbpedia.org/resource/Edwin_Henry_Horne,,1
10348,openplaques:subject:id=10348,The Most Revd Cardinal Basil Hume OM OSB,Hume,man,1923,1999,76,male,,"[""Order of Merit recipient"", ""cardinal"", ""abbot"", ""monk"", ""Archbishop of Westminster"", ""Order of Saint Benedict""]",,true,,,,,Q527450,https://en.wikipedia.org/wiki/Basil_Hume,http://dbpedia.org/resource/Basil_Hume,,1
23538,openplaques:subject:id=23538,Albert Bridge,Bridge,man,,,unknown,object,,[],,false,,,,,,,,,1
23537,openplaques:subject:id=23537,Matilda Kent,Kent,woman,,,unknown,female,,[],,false,,,,,,,,,1
23536,openplaques:subject:id=23536,Cesar Ritz,Ritz,man,,,unknown,male,,[],,false,,,,,,,,,1
23534,openplaques:subject:id=23534,Bishop David Cashman,Cashman,man,,,unknown,male,,[],,false,,,,,,,,,1
23535,openplaques:subject:id=23535,Cardinal John Heenan,Heenan,man,,,unknown,male,,[],,false,,,,,,,,,1
1513,openplaques:subject:id=1513,King Edward VII of the United Kingdom,Edward VII,man,1841,1910,68,male,,"[""Prince of Wales"", ""husband"", ""father"", ""son"", ""King of the United Kingdom""]",,false,Queen Victoria of the United Kingdom,227,Prince Albert of Saxe-Coburg and Gotha,7833,Q20875,https://en.wikipedia.org/wiki/Edward_VII,http://dbpedia.org/resource/Edward_VII,,1
4679,openplaques:subject:id=4679,King George III of the United Kingdom of Great Britain,George III,man,1738,1820,81,male,,"[""husband"", ""father"", ""son"", ""King of the United Kingdom"", ""King of Great Britain"", ""King of Ireland""]",,false,,,"Frederick , Prince of Wales",9203,Q127318,https://en.wikipedia.org/wiki/George_III_of_the_United_Kingdom,http://dbpedia.org/resource/George_III_of_the_United_Kingdom,,1
21795,openplaques:subject:id=21795,Queen Charlotte,Charlotte,man,,,unknown,male,,[],,false,,,,,,,,,1
23690,openplaques:subject:id=23690,Chris Pullen,Pullen,man,1988,2000,12,male,,[],,false,,,,,Q95423601,,,,1
23532,openplaques:subject:id=23532,Museum Tavern,Tavern,man,,,unknown,object,,[],,false,,,,,Q16707752,https://en.wikipedia.org/wiki/Museum_Tavern,http://dbpedia.org/resource/Museum_Tavern,,1
23531,openplaques:subject:id=23531,Rugby Union Football,Football,man,,,unknown,object,,[],,false,,,,,,,,,1
23530,openplaques:subject:id=23530,Yardley,Yardley,man,,,unknown,object,,[],,false,,,,,,,,,1
2224,openplaques:subject:id=2224,Priory of the Blackfriars,Priory of the Blackfriars,place,1278,1538,260,object,,"[""priory""]",priory,false,,,,,Q880829,"https://en.wikipedia.org/wiki/Blackfriars,_London","http://dbpedia.org/resource/Blackfriars,_London",,1
23693,openplaques:subject:id=23693,march in support of the Tolpuddle martyrs,martyrs,thing,1834,1834,0,object,,"[""march""]",march,false,,,,,,,,,1
23529,openplaques:subject:id=23529,King James I,I,man,,,unknown,male,,[],,false,,,,,,,,,1
3342,openplaques:subject:id=3342,John Nash,Nash,man,1752,1835,83,male,,"[""architect""]",architect,false,,,,,Q309905,https://en.wikipedia.org/wiki/John_Nash_(architect),http://dbpedia.org/resource/John_Nash_(architect),,1
23523,openplaques:subject:id=23523,Cabmen’s Shelter Fund,Shelter Fund,man,,,unknown,object,,[],,false,,,,,Q5015719,https://en.wikipedia.org/wiki/Cabmen's_Shelter_Fund,http://dbpedia.org/resource/Cabmen's_Shelter_Fund,,1
23522,openplaques:subject:id=23522,Hugo Manning,Manning,man,,,unknown,male,,[],,false,,,,,,,,,1
23521,openplaques:subject:id=23521,Henry Doulton,Doulton,man,,,unknown,male,,"[""pottery manufacturer""]",pottery manufacturer,false,,,,,Q13581025,https://en.wikipedia.org/wiki/Henry_Doulton,http://dbpedia.org/resource/Henry_Doulton,,1
23504,openplaques:subject:id=23504,Mary Harris Smith FCA,Smith,woman,1844,1934,90,female,,"[""accountant"", ""Fellow of Chartered Accountants""]",,false,,,,,Q67172536,https://en.wikipedia.org/wiki/Mary_Harris_Smith,http://dbpedia.org/resource/Mary_Harris_Smith,,1
23499,openplaques:subject:id=23499,Great Trees of London,London,man,,,unknown,object,,[],,false,,,,,Q55612956,https://en.wikipedia.org/wiki/Great_Trees_of_London,http://dbpedia.org/resource/Great_Trees_of_London,,1
6440,openplaques:subject:id=6440,William Henry Smith,Smith,man,1825,1891,66,male,,"[""bookseller"", ""statesman"", ""son""]",,false,,,William Henry Smith,6438,Q176472,https://en.wikipedia.org/wiki/William_Henry_Smith_(1825–1891),http://dbpedia.org/resource/William_Henry_Smith_(1825–1891),,1
23490,openplaques:subject:id=23490,Brewers Hall,Hall,man,,,unknown,object,,[],,false,,,,,,,,,1
23489,openplaques:subject:id=23489,Sir Thomas Attwood,Attwood,man,1765,1838,73,male,,"[""composer"", ""organist""]",,false,,,,,Q59392005,,,,1
23488,openplaques:subject:id=23488,John Strype,Strype,man,1643,1737,94,male,,"[""historian"", ""biographer"", ""son""]",,false,,,John Strype,23491,Q4443307,https://en.wikipedia.org/wiki/John_Strype,http://dbpedia.org/resource/John_Strype,,1
23491,openplaques:subject:id=23491,John Strype,Strype,man,,1648,unknown,male,,"[""father""]",,false,,,,,Q,,,,1
1045,openplaques:subject:id=1045,William Friese-Greene,Friese-Greene,man,1855,1921,66,male,,"[""cinematograph pioneer"", ""inventor of cinematography"", ""inventor of the moving picture camera"", ""inventor of commercial kinematography"", ""father of film"", ""film pioneer""]",,false,,,,,Q1363897,https://en.wikipedia.org/wiki/William_Friese-Greene,http://dbpedia.org/resource/William_Friese-Greene,,1
1317,openplaques:subject:id=1317,Thomas Cubitt,Cubitt,man,1788,1855,67,male,,"[""builder of 37 houses in Kemp Town"", ""Master Builder""]",,false,,,,,Q860469,https://en.wikipedia.org/wiki/Thomas_Cubitt,http://dbpedia.org/resource/Thomas_Cubitt,,1
23475,openplaques:subject:id=23475,Chelsea Electricity Supply Co. Ltd.,Ltd.,man,,,unknown,object,,[],,false,,,,,,,,,1
23474,openplaques:subject:id=23474,S.O.E.,S.O.E.,man,,,unknown,male,,[],,false,,,,,,,,,1
23466,openplaques:subject:id=23466,Red Hall Picture Palace,Palace,man,,,unknown,object,,[],,false,,,,,,,,,1
23465,openplaques:subject:id=23465,Basil Jellicoe,Jellicoe,man,1899,1935,36,male,,[],,false,,,,,Q4867193,https://en.wikipedia.org/wiki/Basil_Jellicoe,http://dbpedia.org/resource/Basil_Jellicoe,,1
2166,openplaques:subject:id=2166,Joe Meek,Meek,man,1929,1967,38,male,,"[""record producer"", ""pioneer of sound recording technology""]",,false,,,,,Q741007,https://en.wikipedia.org/wiki/Joe_Meek,http://dbpedia.org/resource/Joe_Meek,,1
23434,openplaques:subject:id=23434,Covent Garden Market,Market,man,,,unknown,male,,[],,false,,,,,,,,,1
23433,openplaques:subject:id=23433,Henry Potter,Potter,man,,,unknown,male,,[],,false,,,,,,,,,1
23432,openplaques:subject:id=23432,Gregory Foster,Foster,man,,,unknown,male,,[],,false,,,,,Q5606913,https://en.wikipedia.org/wiki/Gregory_Foster,http://dbpedia.org/resource/Gregory_Foster,,1
23431,openplaques:subject:id=23431,James Lane,Lane,man,,,unknown,male,,[],,false,,,,,,,,,1
23430,openplaques:subject:id=23430,Queens Gate Place Mews Arch,Arch,man,,,unknown,object,,[],,false,,,,,,,,,1
23429,openplaques:subject:id=23429,Stephen and Matilda Tenants' Co-operative,Stephen and Matilda Tenants' Co-operative,group,1978,2012,34,object,,"[""tenants' co-operative""]",tenants' co-operative,false,,,,,,,,,1
23425,openplaques:subject:id=23425,John Hargrave Stevens,Stevens,man,,,unknown,male,,[],,false,,,,,,,,,1
23426,openplaques:subject:id=23426,George Alexander,Alexander,man,,,unknown,male,,"[""architect""]",architect,false,,,,,,,,,1
23435,openplaques:subject:id=23435,"St. Johns Church, Kensington","Johns Church, Kensington",place,1845,,175,object,,"[""church""]",church,false,,,,,,,,,1
23436,openplaques:subject:id=23436,Kensington Hippodrome,Hippodrome,place,1837,1842,5,object,,"[""racecourse""]",racecourse,false,,,,,Q6391453,https://en.wikipedia.org/wiki/Kensington_Hippodrome,http://dbpedia.org/resource/Kensington_Hippodrome,,1
6846,openplaques:subject:id=6846,James Braidwood,Braidwood,man,1800,1861,61,male,,"[""superintendent of the London Fire Brigade""]",superintendent of the London Fire Brigade,false,,,,,Q6130162,https://en.wikipedia.org/wiki/James_Braidwood,http://dbpedia.org/resource/James_Braidwood,,1
23421,openplaques:subject:id=23421,Frank Crichlow,Crichlow,man,1932,2010,78,male,bame,[],,false,,,,,Q5486029,https://en.wikipedia.org/wiki/Frank_Crichlow,http://dbpedia.org/resource/Frank_Crichlow,,1
23384,openplaques:subject:id=23384,Dick Whitwell,Whitwell,man,1956,2011,55,male,,"[""railway engineer""]",railway engineer,false,,,,,,,,,1
23392,openplaques:subject:id=23392,William Arthur Shadbolt,Shadbolt,man,,1941,unknown,male,,"[""firewatcher""]",firewatcher,false,,,,,,,,,1
23393,openplaques:subject:id=23393,Sydney John Lee,Lee,man,,1941,unknown,male,,"[""firewatcher""]",firewatcher,false,,,,,,,,,1
23394,openplaques:subject:id=23394,Edward Manning,Manning,man,,1941,unknown,male,,"[""firewatcher""]",firewatcher,false,,,,,,,,,1
23379,openplaques:subject:id=23379,Paul Julius Reuter,Reuter,man,1816,1899,83,male,,"[""entrepreneur""]",entrepreneur,false,,,,,Q71014,https://en.wikipedia.org/wiki/Paul_Reuter,http://dbpedia.org/resource/Paul_Reuter,,1
23367,openplaques:subject:id=23367,Peter Barr,Barr,man,1826,1909,83,male,,"[""horticulturist"", ""daffodil breeder""]",,false,,,,,Q3376446,https://en.wikipedia.org/wiki/Peter_Barr_(nurseryman),http://dbpedia.org/resource/Peter_Barr_(nurseryman),,1
23362,openplaques:subject:id=23362,Rainham Chemical Works,Works,man,,,unknown,object,,[],,false,,,,,,,,,1
23361,openplaques:subject:id=23361,Rainham Library,Library,man,,,unknown,object,,[],,false,,,,,,,,,1
23368,openplaques:subject:id=23368,Vanessa Bell,Bell,man,1879,1961,81,male,,"[""artist"", ""daughter"", ""member""]",artist,false,Julia Stephen,23369,Sir Leslie Stephen KCB,91,Q255294,https://en.wikipedia.org/wiki/Vanessa_Bell,http://dbpedia.org/resource/Vanessa_Bell,,1
7517,openplaques:subject:id=7517,Clementine Churchill,Churchill,woman,1885,1977,92,female,,"[""wife"", ""mother""]",,false,,,,,Q263454,https://en.wikipedia.org/wiki/Clementine_Churchill,http://dbpedia.org/resource/Clementine_Churchill,,1
1689,openplaques:subject:id=1689,Arnold Toynbee,"",man,1852,1883,31,male,,"[""social philosopher"", ""son""]",social philosopher,false,,,Joseph Toynbee,253,Q537152,https://en.wikipedia.org/wiki/Arnold_Toynbee,http://dbpedia.org/resource/Arnold_Toynbee,,1
23360,openplaques:subject:id=23360,Rose Bloom,Bloom,woman,,,unknown,female,,[],,false,,,,,,,,,1
23359,openplaques:subject:id=23359,Iolo Morganwg,Morganwg,man,1747,1826,79,male,,"[""poet"", ""antiquary""]",,false,,,,,Q547716,https://en.wikipedia.org/wiki/Iolo_Morganwg,http://dbpedia.org/resource/Iolo_Morganwg,,1
23526,openplaques:subject:id=23526,John Ortelli,Ortelli,man,,,unknown,male,,[],,false,,,,,,,,,1
23323,openplaques:subject:id=23323,Castle Tavern,Tavern,place,,,unknown,object,,"[""tavern""]",tavern,false,,,,,,,,,1
23313,openplaques:subject:id=23313,Loughton tube station,Loughton tube station,place,,,unknown,object,,"[""railway station""]",railway station,false,,,,,Q1291126,https://en.wikipedia.org/wiki/Loughton_tube_station,http://dbpedia.org/resource/Loughton_tube_station,,1
23314,openplaques:subject:id=23314,John Murray Easton,Easton,man,1889,1975,86,male,,"[""architect""]",architect,false,,,,,Q1676363,https://en.wikipedia.org/wiki/John_Murray_Easton,http://dbpedia.org/resource/John_Murray_Easton,,1
140,openplaques:subject:id=140,Sir Christopher Wren PRS,Wren,man,1632,1723,91,male,,"[""architect"", ""President of the Royal Society"", ""Knight Bachelor""]",,false,,,,,Q170373,https://en.wikipedia.org/wiki/Christopher_Wren,http://dbpedia.org/resource/Christopher_Wren,,1
23307,openplaques:subject:id=23307,Church of St Thomas Apostle,Apostle,place,,,unknown,object,,"[""church""]",church,false,,,,,,,,,1
23308,openplaques:subject:id=23308,Raymond Russell,Russell,man,,,unknown,male,,"[""historian""]",historian,false,,,,,,,,,1
23309,openplaques:subject:id=23309,Thomas Cartwright,Cartwright,man,,,unknown,male,,"[""master mason""]",master mason,false,,,,,,,,,1
5225,openplaques:subject:id=5225,King Henry VI of England of France,Henry VI,man,1421,1471,49,male,,"[""King of France"", ""husband"", ""father"", ""son"", ""King of England""]",,false,Queen Catherine of Valois,20875,King Henry V of England,7761,Q160337,https://en.wikipedia.org/wiki/Henry_VI_of_England,http://dbpedia.org/resource/Henry_VI_of_England,,1
23306,openplaques:subject:id=23306,London Stone,Stone,thing,,,unknown,object,,"[""stone""]",stone,false,,,,,Q738950,https://en.wikipedia.org/wiki/London_Stone,http://dbpedia.org/resource/London_Stone,,1
5807,openplaques:subject:id=5807,"St. Benet Sherehog, London","Sherehog, London",place,,1666,unknown,object,,"[""church"", ""destroyed in The Great Fire of London""]",,false,,,,,,,,,1
